raw,type,object,options,answer,description
"""Grandmother, what big eyes you have!""",missing_word,"""Grandmother, what big eyes you ******!""",[],have,Заполните пропуск вспомогательным глаголом
"Once upon a time there lived in a certain village a little country girl, the prettiest creature who was ever seen.",missing_word,"Once upon a time there lived in a certain village a little country girl, the prettiest creature who ****** ever seen.",[],was,Заполните пропуск вспомогательным глаголом
"Moral: Children, especially attractive, well bred young ladies, should never talk to strangers, for if they should do so, they may well provide dinner for a wolf.",missing_word,"Moral: Children, especially attractive, well bred young ladies, ****** never talk to strangers, for if they ****** do so, they may well provide dinner for a wolf.",[],should,Заполните пропуск вспомогательным глаголом
"""Grandmother, what big ears you have!""",missing_word,"""Grandmother, what big ears you ******!""",[],have,Заполните пропуск вспомогательным глаголом
This good woman had a little red riding hood made for her.,missing_word,This good woman ****** a little red riding hood made for her.,[],had,Заполните пропуск вспомогательным глаголом
Her mother was excessively fond of her; and her grandmother doted on her still more.,missing_word,Her mother ****** excessively fond of her; and her grandmother doted on her still more.,[],was,Заполните пропуск вспомогательным глаголом
"The wolf pulled the bobbin, and the door opened, and then he immediately fell upon the good woman and ate her up in a moment, for it been more than three days since he had eaten.",missing_word,"The wolf pulled the bobbin, and the door opened, and then he immediately fell upon the good woman and ate her up in a moment, for it been more than three days since he ****** eaten.",[],had,Заполните пропуск вспомогательным глаголом
"The good grandmother, who was in bed, because she was somewhat ill, cried out, ""Pull the bobbin, and the latch will go up.""",missing_word,"The good grandmother, who ****** in bed, because she ****** somewhat ill, cried out, ""Pull the bobbin, and the latch will go up.""",[],was,Заполните пропуск вспомогательным глаголом
"Little Red Riding Hood, hearing the big voice of the wolf, was at first afraid; but believing her grandmother had a cold and was hoarse, answered, ""It is your grandchild Little Red Riding Hood, who has brought you a cake and a little pot of butter mother sends you.""",missing_word,"Little Red Riding Hood, hearing the big voice of the wolf, ****** at first afraid; but believing her grandmother had a cold and ****** hoarse, answered, ""It is your grandchild Little Red Riding Hood, who has brought you a cake and a little pot of butter mother sends you.""",[],was,Заполните пропуск вспомогательным глаголом
"The poor child, who did not know that it was dangerous to stay and talk to a wolf, said to him, ""I am going to see my grandmother and carry her a cake and a little pot of butter from my mother.",missing_word,"The poor child, who ****** not know that it was dangerous to stay and talk to a wolf, said to him, ""I am going to see my grandmother and carry her a cake and a little pot of butter from my mother.",[],did,Заполните пропуск вспомогательным глаголом
"The wolf ran as fast as he could, taking the shortest path, and the little girl took a roundabout way, entertaining herself by gathering nuts, running after butterflies, and gathering bouquets of little flowers.",missing_word,"The wolf ran as fast as he could, taking the shortest path, and the little girl took a roundabout way, entertaining herself by gathering nuts, running after butterflies, and gathering bouquets of little flowers.",[],"['having', 'film', 'occupy', 'direct', 'choose', 'opportunity', 'take away', 'necessitate', 'strike', 'fetching', 'accept', 'involve', 'assume', 'obviate', 'take up', 'off', 'guide', 'take', 'ingest', 'taken', 'conduct', 'adopt', 'before', 'engage', 'remove', 'make', 'pickings', 'abstain', 'aim', 'ask', 'drive', 'giving', 'making', 'subscribe to', 'have', 'contract', 'convey', 'select', 'get hold of', 'instead', 'put', 'well', 'out', 'lead', 'use up', 'only', 'claim', 'require', 'rent', 'study', 'subscribe', 'call for', 'acquire', 'deal', 'give', 'shoot', 'carry', 'winning', 'took', 'look at', 'demand', 'way', 'hire', 'need', 'withdraw', 'consider', 'get', 'charter', 'refuse', 'pick out', 'learn', 'submit', 'exact', 'for', 'take aim', 'hold', 'contain', 'pack', 'time', 'train', 'admit', 'bring', 'fill', 'while', 'postulate', 'disclaim', 'consume', 'read', 'take on', 'lease', 'take in', 'putting']",Подберите ассоциацию к слову taking
"""All the better to run with, my child.",missing_word,"""All the better to run with, my child.",[],"['tiddler', 'young', 'foster', 'small fry', 'fry', 'father', 'parent', 'daughter', 'life', 'being', 'death', 'girls', 'nipper', 'baby', 'minor', 'nestling', 'care', 'youngster', 'she', 'son', 'sex', 'tike', 'girl', 'tyke', 'woman', 'mother', 'kid', 'one', 'infant', 'shaver', 'teen', 'boy', 'adult', 'brother', 'parents', 'pregnant']",Подберите ассоциацию к слову child
"And unfortunately, it is these gentle wolves who are the most dangerous ones of all.",missing_word,"And unfortunately, it is these gentle wolves who are the most dangerous ones of all.",[],"['skirt chaser', 'elephants', 'rangers', 'wigan', 'rabbits', 'jackals', 'wildcat', 'raccoons', 'penguins', 'brute', 'savage', 'rhinos', 'beast', 'fulham', 'cats', 'brom', 'sharks', 'Hugo Wolf', 'leopards', 'bison', 'coyotes', 'Wolf', 'lions', 'foxes', 'predators', 'panthers', 'woman chaser', 'Friedrich August Wolf', 'bulls', 'masher', 'wolf']",Подберите ассоциацию к слову wolves
It suited the girl so extremely well that everybody called her Little Red Riding Hood.,missing_word,It suited the girl so extremely well that everybody called her Little Red Riding Hood.,[],"['tailored', 'useful', 'accommodate', 'suitable', 'beseem', 'ideal', 'settings', 'perfectly', 'excellent', 'rather', 'good', 'become', 'capable', 'befit', 'realistic', 'fit', 'ideally', 'entertaining', 'versatile', 'well', 'very', 'quite', 'adapted', 'intelligent', 'better']",Подберите ассоциацию к слову suited
This good woman had a little red riding hood made for her.,missing_word,This good woman had a little red riding hood made for her.,[],"['char', 'young', 'old', 'adult female', 'who', 'she', 'turned', 'father', 'girl', 'teenager', 'whose', 'mother', 'herself', 'daughter', 'one', 'life', 'female', 'wife', 'fair sex', 'another', 'boy', 'cleaning lady', 'child', 'her', 'person']",Подберите ассоциацию к слову woman
"Little Red Riding Hood pulled the bobbin, and the door opened.",missing_word,"Little Red Riding Hood pulled the bobbin, and the door opened.",[],"['grabbed', 'pulling', 'away', 'went', 'ran', 'force', 'knocked', 'back', 'rip', 'pluck', 'off', 'root for', 'down', 'repel', 'pull up', 'rend', 'extract', 'overstretch', 'displume', 'behind', 'pull out', 'perpetrate', 'take out', 'commit', 'draw out', 'forward', 'turned', 'deplumate', 'get out', 'attract', 'picked', 'push', 'shot', 'put', 'deplume', 'rolled', 'out', 'pushed', 'draw in', 'got', 'looked', 'pull in', 'rive', 'front', 'draw', 'tear']",Подберите ассоциацию к слову pulled
"One day her mother, having made some cakes, said to her, ""Go, my dear, and see how your grandmother is doing, for I hear she has been very ill.",missing_word,"One day her mother, having made some cakes, said to her, ""Go, my dear, and see how your grandmother is doing, for I hear she has been very ill.",[],"['she', 'son', 'father', 'uncle', 'grandfather', 'girl', 'generate', 'woman', 'sire', 'daughters', 'friend', 'daughter', 'bring forth', 'male parent', 'beget', 'wife', 'overprotect', 'fuss', 'brother', 'husband', 'aunt', 'sister', 'female parent', 'engender', 'get']",Подберите ассоциацию к слову mother
"Once upon a time there lived in a certain village a little country girl, the prettiest creature who was ever seen.",missing_word,"Once upon a time there lived in a certain village a little country girl, the prettiest creature who was ever seen.",[],"['worked', 'years', 'be', 'dwell', 'father', 'know', 'hold out', '—', 'living', 'survive', 'whom', 'resided', 'hold up', 'survived', 'go', 'exist', 'inhabit', 'thought', 'married', 'family', 'who', 'last', 'couple', 'populate', 'live on', 'endure', 'home', 'moved', 'died', 'subsist', 'experience', 'once', 'returned', 'lives', 'emigrated', 'later']",Подберите ассоциацию к слову lived
"""All the better to hear with, my child.",missing_word,"""All the better to hear with, my child.",[],"['tiddler', 'young', 'foster', 'small fry', 'fry', 'father', 'parent', 'daughter', 'life', 'being', 'death', 'girls', 'nipper', 'baby', 'minor', 'nestling', 'care', 'youngster', 'she', 'son', 'sex', 'tike', 'girl', 'tyke', 'woman', 'mother', 'kid', 'one', 'infant', 'shaver', 'teen', 'boy', 'adult', 'brother', 'parents', 'pregnant']",Подберите ассоциацию к слову child
Little Red Riding Hood took off her clothes and got into bed.,missing_word,Little Red Riding Hood took off her clothes and got into bed.,[],"['wearing', 'tog', 'fit out', 'stuff', 'fashion', 'raiment', 'hats', 'enclothe', 'stylish', 'garb', 'clothing', 'everything', 'habilitate', 'cloak', 'invest', 'wearing apparel', 'garment', 'look', 'outfits', 'drape', 'apparel', 'costumes', 'shoes', 'shorts', 'dresses', 'shirts', 'items', 'boots', 'adorn', 'accessories', 'fit', 'undress', 'robe', 'dress', 'wear', 'fancy', 'underwear', 'pants']",Подберите ассоциацию к слову clothes
"The wolf ran as fast as he could, taking the shortest path, and the little girl took a roundabout way, entertaining herself by gathering nuts, running after butterflies, and gathering bouquets of little flowers.",select_word,"The wolf ****** as fast as he could, taking the shortest path, and the little girl took a roundabout way, entertaining herself by gathering nuts, running after butterflies, and gathering bouquets of little flowers.","{'running', 'run', 'runs', 'ran'}",ran,Выберите слово
"As she was going through the wood, she met with a wolf, who had a very great mind to eat her up, but he dared not, because of some woodcutters working nearby in the forest.",select_word,"As she was ****** through the wood, she met with a wolf, who had a very great mind to eat her up, but he dared not, because of some woodcutters working nearby in the forest.","{'goes', 'go', 'going', 'went'}",going,Выберите слово
"""All the better to hear with, my child.",select_word,"""All the better to ****** with, my child.","{'hear', 'hearing', 'heard', 'hears'}",hear,Выберите слово
"He knocked at the door: tap, tap.",select_word,"He ****** at the door: tap, tap.","{'knock', 'knockes', 'knocking', 'knocked'}",knocked,Выберите слово
Her mother was excessively fond of her; and her grandmother doted on her still more.,select_word,Her mother was excessively fond of her; and her grandmother ****** on her still more.,"{'doted', 'doting', 'dotes', 'dote'}",doted,Выберите слово
"""All the better to see with, my child.",select_word,"""All the better to ****** with, my child.","{'saw', 'see', 'sees', 'seeing'}",see,Выберите слово
He asked her where she was going.,select_word,He ****** her where she was going.,"{'asks', 'ask', 'asked', 'asking'}",asked,Выберите слово
It was not long before the wolf arrived at the old woman's house.,select_word,It was not long before the wolf ****** at the old woman's house.,"{'arriving', 'arrived', 'arrives', 'arrive'}",arrived,Выберите слово
"""Grandmother, what big legs you have!""",select_word,"""Grandmother, what big legs you ******!""","{'having', 'has', 'had', 'have'}",have,Выберите слово
"Little Red Riding Hood, hearing the big voice of the wolf, was at first afraid; but believing her grandmother had a cold and was hoarse, answered, ""It is your grandchild Little Red Riding Hood, who has brought you a cake and a little pot of butter mother sends you.""",select_word,"Little Red Riding Hood, ****** the big voice of the wolf, was at first afraid; but believing her grandmother had a cold and was hoarse, answered, ""It is your grandchild Little Red Riding Hood, who has brought you a cake and a little pot of butter mother sends you.""","{'hear', 'hearing', 'heard', 'hears'}",hearing,Выберите слово
"As she was going through the wood, she met with a wolf, who had a very great mind to eat her up, but he dared not, because of some woodcutters working nearby in the forest.",select_word,[],"['As she was go through the wood, she met with a wolf, who had a very great mind to eat her up, but he dared not, because of some woodcutters working nearby in the forest.', 'As she was going through the wood, she met with a wolf, who had a very great mind to eat her up, but he dared not, because of some woodcutters working nearby in the forest.', 'As she was worse through the wood, she met with a wolf, who had a very great mind to eat her up, but he dared not, because of some woodcutters working nearby in the forest.']","As she was going through the wood, she met with a wolf, who had a very great mind to eat her up, but he dared not, because of some woodcutters working nearby in the forest.",Выберите правильное предложение
"""Well,"" said the wolf, ""and I'll go and see her too.",select_word,[],"['""Well,"" says the wolf, ""and I\'ll go and see her too.', '""Well,"" warned the wolf, ""and I\'ll go and see her too.', '""Well,"" said the wolf, ""and I\'ll go and see her too.']","""Well,"" said the wolf, ""and I'll go and see her too.",Выберите правильное предложение
"I'll go this way and go you that, and we shall see who will be there first.",select_word,[],"[""I'll ca this way and ca you that, and we shall see who will be there first."", ""I'll go this way and go you that, and we shall see who will be there first."", ""I'll going this way and going you that, and we shall see who will be there first.""]","I'll go this way and go you that, and we shall see who will be there first.",Выберите правильное предложение
It suited the girl so extremely well that everybody called her Little Red Riding Hood.,select_word,[],"['It rather the girl so extremely well that everybody called her Little Red Riding Hood.', 'It suited the girl so extremely well that everybody called her Little Red Riding Hood.', 'It unfamiliar the girl so extremely well that everybody called her Little Red Riding Hood.']",It suited the girl so extremely well that everybody called her Little Red Riding Hood.,Выберите правильное предложение
"And, saying these words, this wicked wolf fell upon Little Red Riding Hood, and ate her all up.",select_word,[],"['And, blaming these words, this wicked wolf fell upon Little Red Riding Hood, and ate her all up.', 'And, told these words, this wicked wolf fell upon Little Red Riding Hood, and ate her all up.', 'And, saying these words, this wicked wolf fell upon Little Red Riding Hood, and ate her all up.']","And, saying these words, this wicked wolf fell upon Little Red Riding Hood, and ate her all up.",Выберите правильное предложение
This good woman had a little red riding hood made for her.,select_word,[],"['This good woman had a little red riding hood made for her.', 'This sure woman had a little red riding hood made for her.', 'This thing woman had a little red riding hood made for her.']",This good woman had a little red riding hood made for her.,Выберите правильное предложение
"I say ""wolf,"" but there are various kinds of wolves.",select_word,[],"['I say ""wolf,"" but there are various kinds of wolves.', 'I worry ""wolf,"" but there are various kinds of wolves.', 'I why ""wolf,"" but there are various kinds of wolves.']","I say ""wolf,"" but there are various kinds of wolves.",Выберите правильное предложение
"""All the better to hug you with, my dear.",select_word,[],"['""All the even to hug you with, my dear.', '""All the worse to hug you with, my dear.', '""All the better to hug you with, my dear.']","""All the better to hug you with, my dear.",Выберите правильное предложение
"The wolf, seeing her come in, said to her, hiding himself under the bedclothes, ""Put the cake and the little pot of butter upon the stool, and come get into bed with me.",select_word,[],"['The monster, seeing her come in, said to her, hiding himself under the bedclothes, ""Put the cake and the little pot of butter upon the stool, and come get into bed with me.', 'The hunter, seeing her come in, said to her, hiding himself under the bedclothes, ""Put the cake and the little pot of butter upon the stool, and come get into bed with me.', 'The wolf, seeing her come in, said to her, hiding himself under the bedclothes, ""Put the cake and the little pot of butter upon the stool, and come get into bed with me.']","The wolf, seeing her come in, said to her, hiding himself under the bedclothes, ""Put the cake and the little pot of butter upon the stool, and come get into bed with me.",Выберите правильное предложение
"The good grandmother, who was in bed, because she was somewhat ill, cried out, ""Pull the bobbin, and the latch will go up.""",select_word,[],"['The worse grandmother, who was in bed, because she was somewhat ill, cried out, ""Pull the bobbin, and the latch will go up.""', 'The better grandmother, who was in bed, because she was somewhat ill, cried out, ""Pull the bobbin, and the latch will go up.""', 'The good grandmother, who was in bed, because she was somewhat ill, cried out, ""Pull the bobbin, and the latch will go up.""']","The good grandmother, who was in bed, because she was somewhat ill, cried out, ""Pull the bobbin, and the latch will go up.""",Выберите правильное предложение
